architecture,training_family,regularization,source,n,events_per_neuron_second_mean,mean_abs_evidence_mean,mean_abs_final_membrane_mean,mean_events_per_valid_output_position_mean,mean_total_output_events_per_sample_mean,negative_evidence_fraction_mean,potential_multi_crossing_fraction_mean,zero_spike_sample_fraction_mean,negative_event_fraction_mean,positive_event_fraction_mean,events_per_neuron_second_std,mean_abs_evidence_std,mean_abs_final_membrane_std,mean_events_per_valid_output_position_std,mean_total_output_events_per_sample_std,negative_evidence_fraction_std,potential_multi_crossing_fraction_std,zero_spike_sample_fraction_std,negative_event_fraction_std,positive_event_fraction_std
34x34,e2e_wc,task_plus_reg,probe_analog_sum,3,,0.036913937772920236,,,,0.40304469479419774,,,,,0.0,0.01320351362584157,0.0,0.0,0.0,0.00227310202503833,0.0,0.0,0.0,0.0
34x34,e2e_wc,task_plus_reg,probe_bipolar_lif_beta05_cap1,3,0.02150062587438333,0.036913937772920236,0.05154149052932149,0.0003359472792872395,0.3333333333333333,0.40304469479419774,0.0,0.8858447488584474,0.16666666666666666,0.16666666666666666,0.03724017640896195,0.01320351362584157,0.015069754107258564,0.0005818777563900304,0.5773502691896258,0.00227310202503833,0.0,0.19772269492795405,0.2886751345948129,0.2886751345948129
34x34,e2e_wc,task_plus_reg,probe_if_beta1_cap1,3,1.5661586039319637,0.036913937772920236,1.2143592158872987,0.024471228186436933,24.280821917808215,0.40304469479419774,0.0,0.01141552511415525,,,0.563518362698567,0.01320351362584157,0.35362697803728566,0.00880497441716511,8.73646447923429,0.00227310202503833,0.0,0.007908907797118161,0.0,0.0
34x34,e2e_wc,task_plus_reg,probe_lif_beta05_cap1,3,0.010750312937191664,0.036913937772920236,0.0967544233854929,0.00016797363964361975,0.16666666666666666,0.40304469479419774,0.0,0.9223744292237442,,,0.018620088204480974,0.01320351362584157,0.027092265889820184,0.0002909388781950152,0.2886751345948129,0.00227310202503833,0.0,0.13445143255100878,0.0,0.0
34x34,e2e_wc,task_plus_reg,probe_lif_beta05_cap31,3,0.010750312937191664,0.036913937772920236,0.0967544233854929,0.00016797363964361975,0.16666666666666666,0.40304469479419774,0.0,0.9223744292237442,,,0.018620088204480974,0.01320351362584157,0.027092265889820184,0.0002909388781950152,0.2886751345948129,0.00227310202503833,0.0,0.13445143255100878,0.0,0.0
34x34,local_tsce,task_only,probe_analog_sum,3,,0.02818395015397332,,,,0.4053295964951034,,,,,0.0,0.007396043145836182,0.0,0.0,0.0,0.006835091820480272,0.0,0.0,0.0,0.0
34x34,local_tsce,task_only,probe_bipolar_lif_beta05_cap1,3,0.0,0.02818395015397332,0.03958003536160006,0.0,0.0,0.4053295964951034,0.0,1.0,0.0,0.0,0.0,0.007396043145836182,0.009915347221948544,0.0,0.0,0.006835091820480272,0.0,0.0,0.0,0.0
34x34,local_tsce,task_only,probe_if_beta1_cap1,3,1.3272954863412119,0.02818395015397332,1.0908526467758215,0.020738991974081435,20.577625570776256,0.4053295964951034,0.0,0.0045662100456621,,,0.344997683207748,0.007396043145836182,0.2227173661345977,0.005390588800121062,5.34864558863519,0.006835091820480272,0.0,0.003954453898559081,0.0,0.0
34x34,local_tsce,task_only,probe_lif_beta05_cap1,3,0.0,0.02818395015397332,0.077590975852352,0.0,0.0,0.4053295964951034,0.0,1.0,,,0.0,0.007396043145836182,0.019059371771441687,0.0,0.0,0.006835091820480272,0.0,0.0,0.0,0.0
34x34,local_tsce,task_only,probe_lif_beta05_cap31,3,0.0,0.02818395015397332,0.077590975852352,0.0,0.0,0.4053295964951034,0.0,1.0,,,0.0,0.007396043145836182,0.019059371771441687,0.0,0.0,0.006835091820480272,0.0,0.0,0.0,0.0
