seed,reset_case,phase,delay_steps,delay_ms,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
23,reset_both,0.5,8,125.0,L2,spike50,0.26768203743001795,0.2468600114644879,0.47638599057087394,0.23148802802872884,0.9095923670336137,0.12263531748873628,80
23,reset_both,0.5,8,125.0,L2,syn_current,0.4140778522223158,0.3179216326883301,0.469535244725181,0.27583249304147833,0.9017708650828853,0.13346199219887406,98
23,reset_both,0.5,8,125.0,L2,pre_reset,0.3697039408977314,0.32011005850371244,0.41085803153615563,0.2873254430068566,0.9224068920273146,0.11631647319996496,98
23,reset_both,0.5,16,250.0,L1,spike50,0.8660039626768569,0.06764065295064275,0.8764986231521392,0.06797092433694002,0.5354864289515799,0.16121250827340095,124
23,reset_both,0.5,16,250.0,L1,syn_current,0.9763712754433265,0.016316018113461898,0.9780588448458675,0.015148802917291806,0.2778425995570395,0.08558569779551875,128
23,reset_both,0.5,16,250.0,L1,pre_reset,0.9645251532637794,0.019321292307118675,0.9659589387389782,0.018332895187171582,0.30717479411571935,0.07846583422213933,128
23,reset_both,0.5,16,250.0,L2,spike50,0.5052784444189701,0.2138505685163243,0.6905894133763079,0.17565923512410192,0.717802538919116,0.17084322107030775,122
23,reset_both,0.5,16,250.0,L2,syn_current,0.6519609433364305,0.22172426723066374,0.7118282449341459,0.1667510212350123,0.7162107876201657,0.18018253182933508,126
23,reset_both,0.5,16,250.0,L2,pre_reset,0.6198105572623999,0.22655787760932225,0.6667439358743861,0.18685512356177494,0.7555882738364823,0.17683248552055322,126
23,reset_both,0.5,32,500.0,L1,spike50,0.9542006096884024,0.027675804717445716,0.9580916298416676,0.027107629469308003,0.2999020550426512,0.09273344314092895,98
23,reset_both,0.5,32,500.0,L1,syn_current,0.9971857752800478,0.001867711405820357,0.9973299877632736,0.0017765979180686992,0.10788080704968454,0.03327770970446894,98
