objective,architecture,last_layer,split,scope,layer,shift,mean_neurons,mean_firing_rate,sd_neurons,sd_firing_rate
relative10_sequence_ce,A,L3,train,tau_subgroup,L2,2,43.0,0.033500285567648634,0.0,0.004879658457584585
relative10_sequence_ce,A,L3,train,tau_subgroup,L2,3,43.0,0.07770997466568981,0.0,0.011913649698407814
relative10_sequence_ce,A,L3,train,tau_subgroup,L2,4,42.0,0.11912564557983019,0.0,0.010823042585280112
relative10_sequence_ce,A,L3,train,whole_layer,L1,-1,128.0,0.015079017814773254,0.0,0.0007788795818439781
relative10_sequence_ce,A,L3,train,whole_layer,L2,-1,128.0,0.07644779925301891,0.0,0.009028508965992848
relative10_sequence_ce,A,L3,train,whole_layer,L3,-1,64.0,0.21376873035545804,0.0,0.014093828927156868
relative10_sequence_ce,A,L3,val,tau_subgroup,L1,2,43.0,0.00012862051435956172,0.0,2.2083231409521518e-05
relative10_sequence_ce,A,L3,val,tau_subgroup,L1,3,43.0,0.0038545322398548017,0.0,0.0003338429990607432
relative10_sequence_ce,A,L3,val,tau_subgroup,L1,4,42.0,0.029062905412655216,0.0,0.0024666103292942435
relative10_sequence_ce,A,L3,val,tau_subgroup,L2,2,43.0,0.0215286241892314,0.0,0.0024405188137609046
relative10_sequence_ce,A,L3,val,tau_subgroup,L2,3,43.0,0.05873874315299921,0.0,0.010071883012967615
relative10_sequence_ce,A,L3,val,tau_subgroup,L2,4,42.0,0.09862213694186305,0.0,0.007341352726332266
relative10_sequence_ce,A,L3,val,whole_layer,L1,-1,128.0,0.01087435621689638,0.0,0.0008828754402760366
relative10_sequence_ce,A,L3,val,whole_layer,L2,-1,128.0,0.0593252074005794,0.0,0.006411579461137883
relative10_sequence_ce,A,L3,val,whole_layer,L3,-1,64.0,0.18228389371726217,0.0,0.013103114909545601
relative10_sequence_ce,B,L2,test,tau_subgroup,L1,2,43.0,0.0004771114912591634,0.0,0.00015895446178852677
relative10_sequence_ce,B,L2,test,tau_subgroup,L1,3,43.0,0.011690836890799902,0.0,0.0036944296009182604
relative10_sequence_ce,B,L2,test,tau_subgroup,L1,4,42.0,0.06971662090946386,0.0,0.0035745805623965776
relative10_sequence_ce,B,L2,test,tau_subgroup,L2,2,43.0,0.1501854506038703,0.0,0.0013343755155447328
relative10_sequence_ce,B,L2,test,tau_subgroup,L2,3,43.0,0.2410498250805246,0.0,0.06166371811641066
relative10_sequence_ce,B,L2,test,tau_subgroup,L2,4,42.0,0.29422933299672865,0.0,0.021272706749108236
relative10_sequence_ce,B,L2,test,whole_layer,L1,-1,128.0,0.026963436395515794,0.0,0.0020338515394969737
relative10_sequence_ce,B,L2,test,whole_layer,L2,-1,128.0,0.227974600314778,0.0,0.026311777966145887
relative10_sequence_ce,B,L2,train,tau_subgroup,L1,2,43.0,0.0006891534798550493,0.0,9.714804551120328e-05
relative10_sequence_ce,B,L2,train,tau_subgroup,L1,3,43.0,0.01030588261566204,0.0,0.00318070926750886
relative10_sequence_ce,B,L2,train,tau_subgroup,L1,4,42.0,0.060177065729178546,0.0,0.004820100105523924
relative10_sequence_ce,B,L2,train,tau_subgroup,L2,2,43.0,0.12724476360854162,0.0,0.0034972428005001998
relative10_sequence_ce,B,L2,train,tau_subgroup,L2,3,43.0,0.20725044509992788,0.0,0.054196023143016726
relative10_sequence_ce,B,L2,train,tau_subgroup,L2,4,42.0,0.26555379829702774,0.0,0.02305446563146046
relative10_sequence_ce,B,L2,train,whole_layer,L1,-1,128.0,0.02343924463072448,0.0,0.002280250712071703
relative10_sequence_ce,B,L2,train,whole_layer,L2,-1,128.0,0.19950432424171372,0.0,0.026012268757825485
relative10_sequence_ce,B,L2,val,tau_subgroup,L1,2,43.0,0.00020279848295846239,0.0,7.190165720502962e-05
relative10_sequence_ce,B,L2,val,tau_subgroup,L1,3,43.0,0.006168340434682896,0.0,0.0024329414290023815
relative10_sequence_ce,B,L2,val,tau_subgroup,L1,4,42.0,0.04822729723967543,0.0,0.0036842450730830154
relative10_sequence_ce,B,L2,val,tau_subgroup,L2,2,43.0,0.0962448934593406,0.0,0.00012512165619160107
relative10_sequence_ce,B,L2,val,tau_subgroup,L2,3,43.0,0.17767733128084937,0.0,0.05688845940507766
relative10_sequence_ce,B,L2,val,tau_subgroup,L2,4,42.0,0.24204781552687793,0.0,0.019284315538361914
relative10_sequence_ce,B,L2,val,whole_layer,L1,-1,128.0,0.017964886386913643,0.0,0.0018551719973609671
relative10_sequence_ce,B,L2,val,whole_layer,L2,-1,128.0,0.17144268684341438,0.0,0.023498847968534704
relative10_sequence_ce,C,L3,test,tau_subgroup,L1,2,43.0,0.00032877669384211524,0.0,9.398774000296881e-05
relative10_sequence_ce,C,L3,test,tau_subgroup,L1,3,43.0,0.007448846969860423,0.0,0.0005642367515317683
relative10_sequence_ce,C,L3,test,tau_subgroup,L1,4,42.0,0.04156082026360356,0.0,0.007531528902278593
relative10_sequence_ce,C,L3,test,tau_subgroup,L2,2,43.0,0.02655192873765161,0.0,0.008061443027698869
relative10_sequence_ce,C,L3,test,tau_subgroup,L2,3,43.0,0.06983037177452084,0.0,0.00871591321660581
relative10_sequence_ce,C,L3,test,tau_subgroup,L2,4,42.0,0.1253799951613073,0.0,0.021694336248926055
relative10_sequence_ce,C,L3,test,whole_layer,L1,-1,128.0,0.016249939598519992,0.0,0.002480286606454869
relative10_sequence_ce,C,L3,test,whole_layer,L2,-1,128.0,0.07351873999061188,0.0,0.006050531700994801
relative10_sequence_ce,C,L3,test,whole_layer,L3,-1,128.0,0.20279947916666666,0.0,0.026003227827911084
relative10_sequence_ce,C,L3,train,tau_subgroup,L1,2,43.0,0.0005099839617314682,0.0,0.00013367949810686786
relative10_sequence_ce,C,L3,train,tau_subgroup,L1,3,43.0,0.006733917555795401,0.0,0.0006451356563527486
relative10_sequence_ce,C,L3,train,tau_subgroup,L1,4,42.0,0.03587519051367511,0.0,0.0054967889287361954
relative10_sequence_ce,C,L3,train,tau_subgroup,L2,2,43.0,0.023936917788326278,0.0,0.004852168943938165
relative10_sequence_ce,C,L3,train,tau_subgroup,L2,3,43.0,0.060436864621719266,0.0,0.007440276342407525
relative10_sequence_ce,C,L3,train,tau_subgroup,L2,4,42.0,0.11346852260815449,0.0,0.01779722699577671
relative10_sequence_ce,C,L3,train,whole_layer,L1,-1,128.0,0.014205045053343829,0.0,0.0017721554440866666
relative10_sequence_ce,C,L3,train,whole_layer,L2,-1,128.0,0.06557617650917537,0.0,0.0058034712759247814
relative10_sequence_ce,C,L3,train,whole_layer,L3,-1,128.0,0.18802670401572122,0.0,0.02442286091257277
relative10_sequence_ce,C,L3,val,tau_subgroup,L1,2,43.0,0.0001272594507155452,0.0,3.832185813851704e-05
relative10_sequence_ce,C,L3,val,tau_subgroup,L1,3,43.0,0.0038661012808289424,0.0,0.0003277020417190485
relative10_sequence_ce,C,L3,val,tau_subgroup,L1,4,42.0,0.027318281071243938,0.0,0.005065722825056484
relative10_sequence_ce,C,L3,val,tau_subgroup,L2,2,43.0,0.015694424879154564,0.0,0.005818419685994659
relative10_sequence_ce,C,L3,val,tau_subgroup,L2,3,43.0,0.045004249921228444,0.0,0.006898640601577655
relative10_sequence_ce,C,L3,val,tau_subgroup,L2,4,42.0,0.0932816634686532,0.0,0.02124541781438328
relative10_sequence_ce,C,L3,val,whole_layer,L1,-1,128.0,0.010305330597255143,0.0,0.0016133745881978445
relative10_sequence_ce,C,L3,val,whole_layer,L2,-1,128.0,0.0509990068914055,0.0,0.006883967212798065
relative10_sequence_ce,C,L3,val,whole_layer,L3,-1,128.0,0.15676735836771719,0.0,0.025071335702237872
relative10_sequence_ce,D,L3,test,tau_subgroup,L1,2,43.0,0.00020420114969100126,0.0,1.8376932232514706e-05
relative10_sequence_ce,D,L3,test,tau_subgroup,L1,3,43.0,0.007246572246109904,0.0,0.001540712464440601
relative10_sequence_ce,D,L3,test,tau_subgroup,L1,4,42.0,0.043063050269809715,0.0,0.013043768213015935
relative10_sequence_ce,D,L3,test,tau_subgroup,L2,2,43.0,0.034107371276218656,0.0,0.012686149484208296
relative10_sequence_ce,D,L3,test,tau_subgroup,L2,3,43.0,0.08108455211881167,0.0,0.02135055195931892
