objective,architecture,last_layer,layer,shift,tau_syn_ms,group_neurons,probe_type,mean_feature_dim,mean_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_probe_test_accuracy,sd_feature_dim,sd_probe_val_balanced_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_probe_test_accuracy
fixed250_sequence_ce,A,L3,L2,4,242.10347130039656,42,fixed250,672.0,0.4415945165945166,0.493527306027306,0.4943524006996845,0.502283105022831,0.0,0.020173195977214606,0.07890533705287257,0.07828216930002269,0.07789370826133325
fixed250_sequence_ce,A,L3,L2,4,242.10347130039656,42,full_count,42.0,0.36830206830206835,0.4179413179413179,0.4073350225120042,0.4246575342465753,0.0,0.035722839352364213,0.027008670650797168,0.024749308395732438,0.029855472216031995
fixed250_sequence_ce,B,L2,L1,2,54.31342963722199,43,fixed250,688.0,0.17701418951418954,0.16446423946423946,0.13635827394599795,0.17579908675799086,0.0,0.019630624039934617,0.003886483852359942,0.004369188581968902,0.003954453898559076
fixed250_sequence_ce,B,L2,L1,2,54.31342963722199,43,full_count,43.0,0.1509078884078884,0.14628057128057126,0.11420343604467975,0.1552511415525114,0.0,0.024807852634666568,0.007336685975541836,0.0004337368367452829,0.014257986297713236
fixed250_sequence_ce,B,L2,L1,3,117.0136826471659,43,fixed250,688.0,0.3660333493666827,0.3595189532689533,0.3538493348167507,0.365296803652968,0.0,0.0950577241142284,0.06566887179379698,0.06301697331949198,0.06473720035962477
fixed250_sequence_ce,B,L2,L1,3,117.0136826471659,43,full_count,43.0,0.2668851210517877,0.26958573833573835,0.25695616887392836,0.2762557077625571,0.0,0.0611865599173644,0.03334822080210053,0.03348426659974793,0.024054004001946884
fixed250_sequence_ce,B,L2,L1,4,242.10347130039656,42,fixed250,672.0,0.4906926406926406,0.49260924260924255,0.48951989037610016,0.5,0.0,0.0496945210330962,0.018298007299484022,0.018373882558966072,0.01812158432236019
fixed250_sequence_ce,B,L2,L1,4,242.10347130039656,42,full_count,42.0,0.42682780182780183,0.39360153735153736,0.3685405475502624,0.4041095890410959,0.0,0.04136910299908009,0.049516955274155665,0.0338210613984788,0.05606406008131815
fixed250_sequence_ce,B,L2,L2,2,54.31342963722199,43,fixed250,688.0,0.5175164341831008,0.45107577607577604,0.4400044675160304,0.4634703196347032,0.0,0.011761029389628067,0.029701329340160423,0.031019274725941775,0.02768117728991355
fixed250_sequence_ce,B,L2,L2,2,54.31342963722199,43,full_count,43.0,0.3906926406926407,0.4166060791060791,0.3994662915295046,0.4223744292237443,0.0,0.05640484107676492,0.011047970243021059,0.013440375925734696,0.015817815594236322
fixed250_sequence_ce,B,L2,L2,3,117.0136826471659,43,fixed250,688.0,0.512632275132275,0.4697150072150072,0.47587365288162414,0.4817351598173516,0.0,0.0035823588576761657,0.030877867522257223,0.03406996758208012,0.03236860017981239
fixed250_sequence_ce,B,L2,L2,3,117.0136826471659,43,full_count,43.0,0.4161776495109828,0.43617054242054243,0.42620274847239753,0.4452054794520548,0.0,0.029040607153682233,0.046098423422403306,0.044436325446931726,0.04939111336252039
fixed250_sequence_ce,B,L2,L2,4,242.10347130039656,42,fixed250,672.0,0.5215408048741382,0.47780737780737775,0.4702761322681863,0.49086757990867574,0.0,0.039918070845024224,0.03593578386308011,0.04411323756106612,0.03772308594031579
fixed250_sequence_ce,B,L2,L2,4,242.10347130039656,42,full_count,42.0,0.4100929934263268,0.37063422688422687,0.36651209785113226,0.37442922374429227,0.0,0.02632987550333122,0.03470211410363882,0.03044796890957129,0.037723085940315766
fixed250_sequence_ce,C,L3,L1,2,54.31342963722199,43,fixed250,688.0,0.11723985890652557,0.13688024938024937,0.10383123569181336,0.1506849315068493,0.0,0.03878923616962468,0.043006336994711895,0.05854966140765384,0.04166275705683712
