family,architecture,objective,variant,hidden_cap,output_cap,seed,primary_readout,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,native_test_ba,test_last_hidden_events_per_neuron_second
direct_snn,mid_long,whole_count_ce,multi_h,31,1.0,11,output_whole_count,92,0.8744414362088125,0.4016654641654642,0.4335782273282274,0.4452054794520548,0.42438723319698285,0.4335782273282274,45.40974983432737
direct_snn,mid_long,whole_count_ce,multi_h,31,1.0,23,output_whole_count,59,0.801390605934758,0.41099086099086096,0.4145306082806082,0.4315068493150685,0.3995561029835224,0.4145306082806082,34.81080185553346
direct_snn,mid_long,whole_count_ce,multi_h,31,1.0,37,output_whole_count,89,0.8360493269977506,0.38701899951899965,0.4096195471195471,0.4178082191780822,0.3683258075437373,0.4096195471195471,33.53686216037111
direct_snn,mid_long,whole_count_ce,multi_h,31,1.0,53,output_whole_count,84,0.8459344994676034,0.4027537277537278,0.4047112609612609,0.4178082191780822,0.3917585662577137,0.4047112609612609,32.62085818422796
direct_snn,mid_long,whole_count_ce,multi_h,31,1.0,71,output_whole_count,66,0.8570873937565517,0.45603054353054356,0.40637279387279385,0.410958904109589,0.38280952979482397,0.40637279387279385,29.127899271040423
direct_snn,mid_long,timestep_ce,binary,1,1.0,11,output_whole_count,62,0.4979183320105443,0.30817099567099565,0.34618298368298367,0.363013698630137,0.2721399042827614,0.34618298368298367,8.536903578528827
direct_snn,mid_long,timestep_ce,binary,1,1.0,23,output_whole_count,100,0.6291671482198212,0.2890873015873016,0.3281773781773782,0.3493150684931507,0.2793489828429944,0.3281773781773782,11.262259774685223
direct_snn,mid_long,timestep_ce,binary,1,1.0,37,output_whole_count,100,0.6024538112089951,0.26257215007215007,0.24991674991674992,0.2602739726027397,0.192613446229103,0.24991674991674992,7.959203114645461
direct_snn,mid_long,timestep_ce,binary,1,1.0,53,output_whole_count,87,0.5438551842481317,0.26091269841269843,0.26095571095571096,0.273972602739726,0.1896062271062271,0.26095571095571096,6.772448641484427
direct_snn,mid_long,timestep_ce,binary,1,1.0,71,output_whole_count,78,0.5978131017767533,0.31117724867724866,0.3349386724386724,0.3493150684931507,0.2686748127180049,0.3349386724386724,7.132910868124585
