architecture,family,regularization,seed,source,split,accuracy,balanced_accuracy,macro_f1
234x234,f1_fixed250_tsce,task_only,37,l2_fixed250_linear,train,0.9982788296041308,0.9983974358974358,0.9983818770226538
234x234,f1_fixed250_tsce,task_only,37,l2_fixed250_linear,val,0.6666666666666666,0.6562710437710437,0.6663636614818919
234x234,f1_fixed250_tsce,task_only,37,l2_wholecount_linear,test,0.5273972602739726,0.515739121989122,0.5143233790366648
234x234,f1_fixed250_tsce,task_only,37,l2_wholecount_linear,train,0.9913941480206541,0.9906802151979255,0.9913310397199582
234x234,f1_fixed250_tsce,task_only,37,l2_wholecount_linear,val,0.5714285714285714,0.5646945646945647,0.5688564433597972
234x234,f1_fixed250_tsce,task_plus_reg,11,l2_fixed250_linear,test,0.6232876712328768,0.6055187867687867,0.6099446055316804
234x234,f1_fixed250_tsce,task_plus_reg,11,l2_fixed250_linear,train,0.9965576592082617,0.996545584045584,0.9966520448207478
234x234,f1_fixed250_tsce,task_plus_reg,11,l2_fixed250_linear,val,0.626984126984127,0.6147727272727272,0.6194442634660026
234x234,f1_fixed250_tsce,task_plus_reg,11,l2_wholecount_linear,test,0.5958904109589042,0.5728646353646353,0.56813884644767
234x234,f1_fixed250_tsce,task_plus_reg,11,l2_wholecount_linear,train,0.8227194492254734,0.8199003116119178,0.823681638298441
234x234,f1_fixed250_tsce,task_plus_reg,11,l2_wholecount_linear,val,0.48412698412698413,0.4740860990860991,0.47538094729957586
234x234,f1_fixed250_tsce,task_plus_reg,23,l2_fixed250_linear,test,0.5821917808219178,0.5648199023199022,0.5745685142743965
234x234,f1_fixed250_tsce,task_plus_reg,23,l2_fixed250_linear,train,0.8932874354561101,0.8906054497409385,0.8950538116829233
234x234,f1_fixed250_tsce,task_plus_reg,23,l2_fixed250_linear,val,0.6111111111111112,0.5986531986531985,0.6130029440205776
234x234,f1_fixed250_tsce,task_plus_reg,23,l2_wholecount_linear,test,0.5136986301369864,0.504750111000111,0.4975907232687758
234x234,f1_fixed250_tsce,task_plus_reg,23,l2_wholecount_linear,train,0.8640275387263339,0.8625920923816704,0.8660955994904475
234x234,f1_fixed250_tsce,task_plus_reg,23,l2_wholecount_linear,val,0.49206349206349204,0.49369288119288113,0.4954069637259293
234x234,f1_fixed250_tsce,task_plus_reg,37,l2_fixed250_linear,test,0.636986301369863,0.6241563991563991,0.6258795239800141
234x234,f1_fixed250_tsce,task_plus_reg,37,l2_fixed250_linear,train,0.9672977624784854,0.9673029636898934,0.9685886050053205
234x234,f1_fixed250_tsce,task_plus_reg,37,l2_fixed250_linear,val,0.5873015873015873,0.5722282347282347,0.5866407878327383
234x234,f1_fixed250_tsce,task_plus_reg,37,l2_wholecount_linear,test,0.5342465753424658,0.5204517704517704,0.5247228916683409
234x234,f1_fixed250_tsce,task_plus_reg,37,l2_wholecount_linear,train,0.8623063683304647,0.8609391252339277,0.8636817931293641
234x234,f1_fixed250_tsce,task_plus_reg,37,l2_wholecount_linear,val,0.5873015873015873,0.5756373256373256,0.5876139775985906
234x234,f2_fixed250_wholecount,task_only,11,l2_fixed250_linear,test,0.589041095890411,0.5730200355200356,0.5885035464585721
234x234,f2_fixed250_wholecount,task_only,11,l2_fixed250_linear,train,0.9948364888123924,0.9950866920842412,0.9951820476397222
234x234,f2_fixed250_wholecount,task_only,11,l2_fixed250_linear,val,0.6428571428571429,0.6297138047138047,0.635883158427018
234x234,f2_fixed250_wholecount,task_only,11,l2_wholecount_linear,test,0.4726027397260274,0.4602564102564102,0.4646337750376919
234x234,f2_fixed250_wholecount,task_only,11,l2_wholecount_linear,train,1.0,1.0,1.0
234x234,f2_fixed250_wholecount,task_only,11,l2_wholecount_linear,val,0.5396825396825397,0.5216510341510342,0.5257916131104537
234x234,f2_fixed250_wholecount,task_only,23,l2_fixed250_linear,test,0.6027397260273972,0.5842934842934843,0.5900981334641948
234x234,f2_fixed250_wholecount,task_only,23,l2_fixed250_linear,train,1.0,1.0,1.0
234x234,f2_fixed250_wholecount,task_only,23,l2_fixed250_linear,val,0.6587301587301587,0.6536556036556036,0.6577808966395923
234x234,f2_fixed250_wholecount,task_only,23,l2_wholecount_linear,test,0.5136986301369864,0.503205821955822,0.4905787893633449
234x234,f2_fixed250_wholecount,task_only,23,l2_wholecount_linear,train,0.9759036144578314,0.9754250967687873,0.9765767465785083
234x234,f2_fixed250_wholecount,task_only,23,l2_wholecount_linear,val,0.4523809523809524,0.45046897546897546,0.47336811364091846
234x234,f2_fixed250_wholecount,task_only,37,l2_fixed250_linear,test,0.6506849315068494,0.6349927849927849,0.6339223865684812
234x234,f2_fixed250_wholecount,task_only,37,l2_fixed250_linear,train,1.0,1.0,1.0
234x234,f2_fixed250_wholecount,task_only,37,l2_fixed250_linear,val,0.6587301587301587,0.6442279942279941,0.6531732726375342
234x234,f2_fixed250_wholecount,task_only,37,l2_wholecount_linear,test,0.5547945205479452,0.5531746031746031,0.5427444340600264
234x234,f2_fixed250_wholecount,task_only,37,l2_wholecount_linear,train,1.0,1.0,1.0
234x234,f2_fixed250_wholecount,task_only,37,l2_wholecount_linear,val,0.5079365079365079,0.5051767676767677,0.5028678180896639
234x234,f2_fixed250_wholecount,task_plus_reg,11,l2_fixed250_linear,test,0.5684931506849316,0.5611222111222112,0.5875959125959126
234x234,f2_fixed250_wholecount,task_plus_reg,11,l2_fixed250_linear,train,1.0,1.0,1.0
234x234,f2_fixed250_wholecount,task_plus_reg,11,l2_fixed250_linear,val,0.626984126984127,0.6243205868205869,0.6309510805099041
234x234,f2_fixed250_wholecount,task_plus_reg,11,l2_wholecount_linear,test,0.5753424657534246,0.5648199023199022,0.5700316555978325
234x234,f2_fixed250_wholecount,task_plus_reg,11,l2_wholecount_linear,train,0.9982788296041308,0.9983974358974358,0.99841212231195
234x234,f2_fixed250_wholecount,task_plus_reg,11,l2_wholecount_linear,val,0.5079365079365079,0.49630832130832125,0.5013801196297217
234x234,f2_fixed250_wholecount,task_plus_reg,23,l2_fixed250_linear,test,0.5753424657534246,0.567511655011655,0.5768345837879086
234x234,f2_fixed250_wholecount,task_plus_reg,23,l2_fixed250_linear,train,0.9965576592082617,0.995768618080446,0.9962974311832901
234x234,f2_fixed250_wholecount,task_plus_reg,23,l2_fixed250_linear,val,0.626984126984127,0.6201539201539202,0.6221342540614986
234x234,f2_fixed250_wholecount,task_plus_reg,23,l2_wholecount_linear,test,0.547945205479452,0.5406607281607281,0.5506321244139836
234x234,f2_fixed250_wholecount,task_plus_reg,23,l2_wholecount_linear,train,1.0,1.0,1.0
234x234,f2_fixed250_wholecount,task_plus_reg,23,l2_wholecount_linear,val,0.5476190476190477,0.5327982202982203,0.5306212959745569
234x234,f2_fixed250_wholecount,task_plus_reg,37,l2_fixed250_linear,test,0.5821917808219178,0.56752553002553,0.5853239294068371
234x234,f2_fixed250_wholecount,task_plus_reg,37,l2_fixed250_linear,train,1.0,1.0,1.0
234x234,f2_fixed250_wholecount,task_plus_reg,37,l2_fixed250_linear,val,0.6825396825396826,0.6644360269360269,0.674896408786569
234x234,f2_fixed250_wholecount,task_plus_reg,37,l2_wholecount_linear,test,0.5342465753424658,0.5220258907758908,0.5315794877113497
234x234,f2_fixed250_wholecount,task_plus_reg,37,l2_wholecount_linear,train,1.0,1.0,1.0
234x234,f2_fixed250_wholecount,task_plus_reg,37,l2_wholecount_linear,val,0.5873015873015873,0.5902657527657528,0.6045792717774142
234x234,s1_spike_wc_beta05,task_only,11,l2_fixed250_linear,test,0.6232876712328768,0.604585692085692,0.6061250006814523
234x234,s1_spike_wc_beta05,task_only,11,l2_fixed250_linear,train,0.9810671256454389,0.9809995422514369,0.9823776773429977
234x234,s1_spike_wc_beta05,task_only,11,l2_fixed250_linear,val,0.5873015873015873,0.576936026936027,0.5909563651059159
234x234,s1_spike_wc_beta05,task_only,11,l2_wholecount_linear,test,0.6027397260273972,0.5951250138750138,0.5918729783861363
234x234,s1_spike_wc_beta05,task_only,11,l2_wholecount_linear,train,0.9345955249569707,0.9327033792923024,0.937765980380486
