architecture,family,regularization,source,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
234x234,s1_spike_wc_beta05,task_plus_reg,native_lif_beta10_valid,val,3,0.4338624338624339,0.4265131473464807,0.404652010311382,0.025512303600510444,0.02389358189111457,0.029275332389650785
234x234,s1_spike_wc_beta05,task_plus_reg,native_w_analog_full,test,3,0.5182648401826485,0.49935411810411806,0.4805490320456491,0.007908907797118128,0.0073616942907802204,0.02191065611586079
234x234,s1_spike_wc_beta05,task_plus_reg,native_w_analog_full,train,3,0.8290304073436604,0.8233916521949259,0.8269215757991027,0.013912054679268013,0.01047633963371137,0.01403398529881269
234x234,s1_spike_wc_beta05,task_plus_reg,native_w_analog_full,val,3,0.4365079365079365,0.42013989097322435,0.40183153277020045,0.04123930494211611,0.03728143178800911,0.038127190493036166
234x234,s1_spike_wc_beta05,task_plus_reg,native_w_analog_valid,test,3,0.5319634703196346,0.5174126799126798,0.5033943063346659,0.010462501586657225,0.010517162273588274,0.019780146650125403
234x234,s1_spike_wc_beta05,task_plus_reg,native_w_analog_valid,train,3,0.8611589213998853,0.8591984405472406,0.8603210442130133,0.01979969469505155,0.01664875994671206,0.020036777881287125
234x234,s1_spike_wc_beta05,task_plus_reg,native_w_analog_valid,val,3,0.44708994708994704,0.43822751322751324,0.42029334880497093,0.012123216124221778,0.009846405212151731,0.01916031564282793
234x234,s2_spike_tsce_beta05,task_only,l2_fixed250_linear,test,3,0.4109589041095891,0.40538466163466164,0.39102876656634095,0.0410958904109589,0.03568778915181518,0.03983117967145973
234x234,s2_spike_tsce_beta05,task_only,l2_fixed250_linear,train,3,0.7986230636833046,0.7926904101888512,0.8271031004612496,0.0721866333064054,0.07697090831209041,0.06599211957452747
234x234,s2_spike_tsce_beta05,task_only,l2_fixed250_linear,val,3,0.38359788359788355,0.3616863075196408,0.37845628379484103,0.01652115872592169,0.009676777426637915,0.009386266469772944
234x234,s2_spike_tsce_beta05,task_only,l2_wholecount_linear,test,3,0.3904109589041096,0.3773839586339586,0.3622781624921245,0.036243168644720436,0.04288284595014816,0.06086048832782707
234x234,s2_spike_tsce_beta05,task_only,l2_wholecount_linear,train,3,0.648881239242685,0.6381870208984223,0.6659248679779525,0.16663382986009034,0.17504517426499688,0.17937269007906484
234x234,s2_spike_tsce_beta05,task_only,l2_wholecount_linear,val,3,0.35714285714285715,0.3397406605739939,0.346946023855059,0.031746031746031744,0.020596139559400622,0.03226949011912451
234x234,s2_spike_tsce_beta05,task_only,native,test,3,0.3127853881278539,0.2957267269767269,0.2429123796748728,0.04185000634662867,0.04463424746666717,0.04640028241482898
234x234,s2_spike_tsce_beta05,task_only,native,train,3,0.48479632816982215,0.4779588735401621,0.4689263390423451,0.055032612269053226,0.056328489991476764,0.0665799091711927
234x234,s2_spike_tsce_beta05,task_only,native,val,3,0.2857142857142857,0.28298260381593715,0.26201073226530075,0.036369648372665396,0.029199798640921627,0.03188276984628024
234x234,s2_spike_tsce_beta05,task_only,native_lif_beta05_full,test,3,0.3059360730593607,0.28607966107966104,0.22531884145861694,0.04185000634662867,0.044771973682705836,0.048066754742455926
234x234,s2_spike_tsce_beta05,task_only,native_lif_beta05_full,train,3,0.4693057946069994,0.46111626314831433,0.4445777872519514,0.04206609932260091,0.0423073402737278,0.046678699512568776
234x234,s2_spike_tsce_beta05,task_only,native_lif_beta05_full,val,3,0.2671957671957672,0.2630090588423922,0.2332097704085152,0.04783899820112465,0.03469063951254684,0.041122046865590886
234x234,s2_spike_tsce_beta05,task_only,native_lif_beta05_valid,test,3,0.3127853881278539,0.2957267269767269,0.2429123796748728,0.04185000634662867,0.04463424746666717,0.04640028241482898
234x234,s2_spike_tsce_beta05,task_only,native_lif_beta05_valid,train,3,0.48479632816982215,0.4779588735401621,0.4689263390423451,0.055032612269053226,0.056328489991476764,0.0665799091711927
234x234,s2_spike_tsce_beta05,task_only,native_lif_beta05_valid,val,3,0.2857142857142857,0.28298260381593715,0.26201073226530075,0.036369648372665396,0.029199798640921627,0.03188276984628024
234x234,s2_spike_tsce_beta05,task_only,native_lif_beta10_full,test,3,0.30821917808219174,0.2868275243275243,0.22700585792593012,0.02469555668126022,0.024543145470788442,0.018809498996781044
234x234,s2_spike_tsce_beta05,task_only,native_lif_beta10_full,train,3,0.4784853700516351,0.46932228791088076,0.4434904072548038,0.04364448307437507,0.043295029796273164,0.045806278483056365
