contrast,rotation,probe,test_ba_delta
D0_minus_D2,3,input__events__whole_count,-0.05936864061864078
D0_minus_D1,3,input__events__fixed250_count,-0.019008190883190834
D1_minus_D2,3,input__events__fixed250_count,-0.0013901607651607417
D0_minus_D2,3,input__events__fixed250_count,-0.020398351648351576
D0_minus_D1,3,l1__syn_current__whole_mean,-0.07523784086284087
D1_minus_D2,3,l1__syn_current__whole_mean,-0.001881528964862415
D0_minus_D2,3,l1__syn_current__whole_mean,-0.07711936982770329
D0_minus_D1,3,l1__syn_current__fixed250_ordered_mean,0.012123524623524692
D1_minus_D2,3,l1__syn_current__fixed250_ordered_mean,0.005034510242843515
D0_minus_D2,3,l1__syn_current__fixed250_ordered_mean,0.017158034866368205
D0_minus_D1,3,l1__pre_reset__whole_mean,-0.03499525166191834
D1_minus_D2,3,l1__pre_reset__whole_mean,0.04100529100529101
D0_minus_D2,3,l1__pre_reset__whole_mean,0.006010039343372668
D0_minus_D1,3,l1__pre_reset__fixed250_ordered_mean,0.0005422432505765388
D1_minus_D2,3,l1__pre_reset__fixed250_ordered_mean,0.008080653913987232
D0_minus_D2,3,l1__pre_reset__fixed250_ordered_mean,0.00862289716456377
D0_minus_D1,3,l1__spike__whole_mean,-0.02153074548907889
D1_minus_D2,3,l1__spike__whole_mean,0.048292718084384845
D0_minus_D2,3,l1__spike__whole_mean,0.026761972595305956
D0_minus_D1,3,l1__spike__fixed250_ordered_mean,-0.06113782051282043
D1_minus_D2,3,l1__spike__fixed250_ordered_mean,0.012584367792701112
D0_minus_D2,3,l1__spike__fixed250_ordered_mean,-0.048553452720119315
D0_minus_D1,3,l1__post_reset__whole_mean,-0.06189628272961619
D1_minus_D2,3,l1__post_reset__whole_mean,0.034217287342287385
D0_minus_D2,3,l1__post_reset__whole_mean,-0.027678995387328802
D0_minus_D1,3,l1__post_reset__fixed250_ordered_mean,-0.03373736602903277
D1_minus_D2,3,l1__post_reset__fixed250_ordered_mean,0.019140466015465967
D0_minus_D2,3,l1__post_reset__fixed250_ordered_mean,-0.014596900013566802
D0_minus_D1,3,l1__spike__whole_count,-0.033669108669108695
D1_minus_D2,3,l1__spike__whole_count,0.09663376746710084
D0_minus_D2,3,l1__spike__whole_count,0.06296465879799214
D0_minus_D1,3,l1__spike__fixed250_count,-0.04729047958214616
D1_minus_D2,3,l1__spike__fixed250_count,-0.004602496269162981
D0_minus_D2,3,l1__spike__fixed250_count,-0.05189297585130914
D0_minus_D1,3,l2__syn_current__whole_mean,0.009550094966761624
D1_minus_D2,3,l2__syn_current__whole_mean,0.003918226834893475
D0_minus_D2,3,l2__syn_current__whole_mean,0.0134683218016551
D0_minus_D1,3,l2__syn_current__fixed250_ordered_mean,-0.09183752204585545
D1_minus_D2,3,l2__syn_current__fixed250_ordered_mean,0.012918447293447377
D0_minus_D2,3,l2__syn_current__fixed250_ordered_mean,-0.07891907475240807
D0_minus_D1,3,l2__pre_reset__whole_mean,-0.013432709266042639
D1_minus_D2,3,l2__pre_reset__whole_mean,0.01817426400759729
D0_minus_D2,3,l2__pre_reset__whole_mean,0.00474155474155465
D0_minus_D1,3,l2__pre_reset__fixed250_ordered_mean,-0.10187220187220188
D1_minus_D2,3,l2__pre_reset__fixed250_ordered_mean,0.018235314068647496
D0_minus_D2,3,l2__pre_reset__fixed250_ordered_mean,-0.08363688780355438
D0_minus_D1,3,l2__spike__whole_mean,-0.03849206349206354
D1_minus_D2,3,l2__spike__whole_mean,0.1049310643060644
D0_minus_D2,3,l2__spike__whole_mean,0.06643900081400085
D0_minus_D1,3,l2__spike__fixed250_ordered_mean,-0.05898707773707775
D1_minus_D2,3,l2__spike__fixed250_ordered_mean,0.06869488536155206
D0_minus_D2,3,l2__spike__fixed250_ordered_mean,0.009707807624474318
D0_minus_D1,3,l2__post_reset__whole_mean,-0.0004400691900691515
D1_minus_D2,3,l2__post_reset__whole_mean,0.04256461131461131
D0_minus_D2,3,l2__post_reset__whole_mean,0.04212454212454216
D0_minus_D1,3,l2__post_reset__fixed250_ordered_mean,-0.04519781915615251
D1_minus_D2,3,l2__post_reset__fixed250_ordered_mean,-0.02514923348256685
D0_minus_D2,3,l2__post_reset__fixed250_ordered_mean,-0.07034705263871936
D0_minus_D1,3,l2__spike__whole_count,-0.0034556878306878
D1_minus_D2,3,l2__spike__whole_count,0.07368487993487993
D0_minus_D2,3,l2__spike__whole_count,0.07022919210419214
D0_minus_D1,3,l2__spike__fixed250_count,-0.037718762718762844
D1_minus_D2,3,l2__spike__fixed250_count,0.04364358635191978
