contrast,architecture,training_family,source,regularization,metric,n,delta_mean,delta_std
pre_minus_post_output_probe,34x45,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,macro_f1,3,0.020900631194439856,0.06546777742349141
pre_minus_post_output_probe,34x45,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,accuracy,3,0.02054794520547946,0.044913962495219166
pre_minus_post_output_probe,34x45,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,balanced_accuracy,3,0.026451557701557677,0.03983699895121024
pre_minus_post_output_probe,34x45,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,macro_f1,3,0.03870852282601032,0.03513949573294108
pre_minus_post_output_probe,4x4,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,accuracy,3,0.0273972602739726,0.0273972602739726
pre_minus_post_output_probe,4x4,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,balanced_accuracy,3,0.030415880415880392,0.027258424773333484
pre_minus_post_output_probe,4x4,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,macro_f1,3,0.026157088353655638,0.03056194628910843
pre_minus_post_output_probe,4x4,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,accuracy,3,0.02511415525114156,0.052312507933285825
pre_minus_post_output_probe,4x4,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,balanced_accuracy,3,0.018882506382506326,0.049533571547752786
pre_minus_post_output_probe,4x4,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,macro_f1,3,0.01865706199496368,0.04884550663961171
pre_minus_post_output_probe,5x5,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,accuracy,3,-0.01598173515981734,0.04403493498170301
pre_minus_post_output_probe,5x5,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,balanced_accuracy,3,-0.015523134273134268,0.04187823558205068
pre_minus_post_output_probe,5x5,e2e_wc,pre_output_fixed250-post_output_fixed250,task_only,macro_f1,3,-0.02916265501076713,0.04877713398043928
pre_minus_post_output_probe,5x5,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,accuracy,3,0.03881278538812786,0.040133323815632276
pre_minus_post_output_probe,5x5,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,balanced_accuracy,3,0.041457153957153964,0.03690369632816728
pre_minus_post_output_probe,5x5,e2e_wc,pre_output_fixed250-post_output_fixed250,task_plus_reg,macro_f1,3,0.059382745317651926,0.03711112963050496
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,,accuracy,3,0.006849315068493141,0.034246575342465724
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,,balanced_accuracy,3,0.013870620120620144,0.03323442735946595
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,,macro_f1,3,0.014307803694544671,0.034326552529182486
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,,accuracy,3,-0.013698630136986282,0.024695556681260132
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,,balanced_accuracy,3,-0.010378510378510378,0.02246796076264792
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,,macro_f1,3,-0.008678434624529071,0.015553958314541276
